Test name	Type	timeMin	ReqCou	GrCou	Max TP	softOR	StWdsFlt	TruePositive	Precision	Recall	Accuracy	Error	F-measure	APres@5	APres@10	APres@20	APres@50	AveragePres	nDCG@5	nDCG@10	nDCG@20	nDCG@50	nDCG	MRR
как выплатить кредит досрочно?	InfoSearch&W2V(avg)	0.28	460	24	326	0	False	10	0.4167	0.0307	0.9874	0.0126	0.0571	0.6433	0.4531	0.312	0.1335	0.2782	0.786	0.6471	0.5268	0	0.4958	1.0
как выплатить кредит досрочно?	InfoSearch&W2V(avg10)	0.28	460	24	326	0	False	10	0.4167	0.0307	0.9874	0.0126	0.0571	0.6	0.4381	0.3182	0.1364	0.2841	0.7227	0.6208	0.5432	0	0.5108	1.0
как выплатить кредит досрочно?	InfoSearch&W2V(max)	0.28	460	24	326	0	False	10	0.4167	0.0307	0.9874	0.0126	0.0571	0.1	0.1161	0.1234	0.0728	0.1516	0.214	0.2817	0.32	0	0.3672	0.5
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+avg)	0.3	460	24	326	0	False	10	0.4167	0.0307	0.9874	0.0126	0.0571	0.5433	0.7071	0.3786	0.1514	0.3155	0.6608	0.7799	0.5357	0	0.4762	0.5
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+max)	0.34	460	24	326	0	False	10	0.4167	0.0307	0.9874	0.0126	0.0571	0.2333	0.1986	0.1534	0.0848	0.1767	0.3836	0.3846	0.3518	0	0.3954	0.5

как выплатить кредит досрочно?	InfoSearch	5.68	23871	966	326	0,4	True	326	0.3375	1.0	0.9756	0.0244	0.5046	0.05	0.2067	0.2237	0.2653	0.1498	0.1461	0.3822	0.4196	0.4749	0.3537	0.25
как выплатить кредит досрочно?	InfoSearch&W2V(avg)	7.34	23871	966	326	0,4	True	326	0.3375	1.0	0.9756	0.0244	0.5046	0.13	0.095	0.0942	0.0819	0.1153	0.2773	0.2436	0.2619	0.2616	0.3342	0.25
как выплатить кредит досрочно?	InfoSearch&W2V(avg10)	7.28	23871	966	326	0,4	True	326	0.3375	1.0	0.9756	0.0244	0.5046	0.8	0.5225	0.3398	0.3034	0.1397	0.8688	0.6968	0.556	0.5501	0.3577	1.0
как выплатить кредит досрочно?	InfoSearch&W2V(max)	7.14	23871	966	326	0,4	True	326	0.3375	1.0	0.9756	0.0244	0.5046	0.0667	0.1	0.0682	0.1526	0.1283	0.1696	0.2547	0.204	0.3802	0.3425	0.3333
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+avg)	6.72	23871	966	326	0,4	True	326	0.3375	1.0	0.9756	0.0244	0.5046	0.2333	0.1467	0.1925	0.1753	0.1335	0.3836	0.3125	0.412	0.4029	0.3475	0.5
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+max)	7.69	23871	966	326	0,4	True	326	0.3375	1.0	0.9756	0.0244	0.5046	0.13	0.1721	0.2307	0.1904	0.1475	0.2773	0.3317	0.4274	0.389	0.3524	0.25

как выплатить кредит досрочно?	InfoSearch	3.1	14616	532	326	0,4	False	175	0.3289	0.5368	0.9807	0.0193	0.4079	0.5433	0.3431	0.3182	0.3318	0.1577	0.6608	0.5022	0.509	0.5617	0.3583	0.5
как выплатить кредит досрочно?	InfoSearch&W2V(avg)	3.76	14616	532	326	0,4	False	175	0.3289	0.5368	0.9807	0.0193	0.4079	0.1667	0.1208	0.1161	0.1561	0.1151	0.3156	0.2743	0.2884	0.3808	0.3303	0.3333
как выплатить кредит досрочно?	InfoSearch&W2V(avg10)	3.99	14616	532	326	0,4	False	175	0.3289	0.5368	0.9807	0.0193	0.4079	0.6	0.5831	0.4057	0.2657	0.142	0.7227	0.7538	0.6243	0.4959	0.3578	1.0
как выплатить кредит досрочно?	InfoSearch&W2V(max)	3.74	14616	532	326	0,4	False	175	0.3289	0.5368	0.9807	0.0193	0.4079	0.1	0.1161	0.0887	0.1569	0.1331	0.214	0.2817	0.2537	0.3907	0.3389	0.5
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+avg)	3.65	14616	532	326	0,4	False	175	0.3289	0.5368	0.9807	0.0193	0.4079	0.2333	0.1667	0.2395	0.2428	0.1367	0.3836	0.3273	0.4606	0.4667	0.3461	0.5
как выплатить кредит досрочно?	InfoSearch&W2V(stopW+max)	4.07	14616	532	326	0,4	False	175	0.3289	0.5368	0.9807	0.0193	0.4079	0.2333	0.1986	0.1359	0.174	0.1418	0.3836	0.3846	0.3195	0.4031	0.3459	0.5

Как выгоднее выплачивать досрочные платежи по кредиту	InfoSearch	0.42	2339	224	31	0,4	False	31	0.1384	1.0	0.9927	0.0073	0.2431	1.0	0.7	0.3808	0.2161	0.063	1.0	0.8007	0.554	0.4368	0.2039	1.0
Как выгоднее выплачивать досрочные платежи по кредиту	InfoSearch&W2V(avg)	0.86	2339	224	31	0,4	False	31	0.1384	1.0	0.9927	0.0073	0.2431	0.1467	0.1553	0.1345	0.092	0.0376	0.3008	0.3309	0.3189	0.2758	0.1614	0.3333
Как выгоднее выплачивать досрочные платежи по кредиту	InfoSearch&W2V(avg10)	0.86	2339	224	31	0,4	False	31	0.1384	1.0	0.9927	0.0073	0.2431	0.55	0.3417	0.2298	0.1079	0.04	0.6992	0.5321	0.4501	0.2912	0.1797	1.0
Как выгоднее выплачивать досрочные платежи по кредиту	InfoSearch&W2V(max)	0.86	2339	224	31	0,4	False	31	0.1384	1.0	0.9927	0.0073	0.2431	0.6	0.35	0.2577	0.1293	0.0491	0.7227	0.5384	0.4885	0.3283	0.1891	1.0
Как выгоднее выплачивать досрочные платежи по кредиту	InfoSearch&W2V(stopW+avg)	0.78	2339	224	31	0,4	False	31	0.1384	1.0	0.9927	0.0073	0.2431	0.05	0.1855	0.1934	0.128	0.0465	0.1461	0.3675	0.3805	0.3124	0.1674	0.25
Как выгоднее выплачивать досрочные платежи по кредиту	InfoSearch&W2V(stopW+max)	1.1	2339	224	31	0,4	False	31	0.1384	1.0	0.9927	0.0073	0.2431	0.55	0.275	0.1643	0.1204	0.0453	0.6992	0.4537	0.3615	0.3361	0.183	1.0

как получить ипотеку	InfoSearch	0.37	2182	249	96	0,2	True	96	0.3855	1.0	0.9942	0.0058	0.5565	1.0	0.8664	0.8998	0.793	0.2917	1.0	0.9266	0.9527	0.8844	0.468	1.0
как получить ипотеку	InfoSearch&W2V(avg)	0.59	2182	249	96	0,2	True	96	0.3855	1.0	0.9942	0.0058	0.5565	0.18	0.14	0.1632	0.151	0.1578	0.3452	0.3024	0.3711	0.3684	0.384	0.5
как получить ипотеку	InfoSearch&W2V(avg10)	0.59	2182	249	96	0,2	True	96	0.3855	1.0	0.9942	0.0058	0.5565	0.42	0.4663	0.5706	0.4148	0.2136	0.6164	0.6727	0.7504	0.6206	0.4273	1.0
как получить ипотеку	InfoSearch&W2V(max)	0.56	2182	249	96	0,2	True	96	0.3855	1.0	0.9942	0.0058	0.5565	1.0	1.0	0.8885	0.5255	0.2213	1.0	1.0	0.9322	0.6697	0.4434	1.0
как получить ипотеку	InfoSearch&W2V(stopW+avg)	0.56	2182	249	96	0,2	True	96	0.3855	1.0	0.9942	0.0058	0.5565	0.04	0.1362	0.1473	0.1332	0.1626	0.1312	0.3005	0.333	0.3319	0.3798	0.2
как получить ипотеку	InfoSearch&W2V(stopW+max)	0.7	2182	249	96	0,2	True	96	0.3855	1.0	0.9942	0.0058	0.5565	1.0	0.8521	0.8926	0.787	0.282	1.0	0.9216	0.9494	0.8819	0.4646	1.0

как получить ипотеку	InfoSearch	0.21	1070	101	96	0,2	False	39	0.3861	0.4062	0.9955	0.0045	0.3959	0.71	0.6915	0.6202	0.4201	0.2618	0.8304	0.8237	0.7807	0.6253	0.4678	1.0
как получить ипотеку	InfoSearch&W2V(avg)	0.32	1070	101	96	0,2	False	39	0.3861	0.4062	0.9955	0.0045	0.3959	0.18	0.19	0.2062	0.2042	0.1735	0.3452	0.3718	0.4161	0.4351	0.3904	0.5
как получить ипотеку	InfoSearch&W2V(avg10)	0.32	1070	101	96	0,2	False	39	0.3861	0.4062	0.9955	0.0045	0.3959	0.42	0.5809	0.4351	0.2946	0.2189	0.6164	0.7511	0.629	0.5124	0.438	1.0
как получить ипотеку	InfoSearch&W2V(max)	0.31	1070	101	96	0,2	False	39	0.3861	0.4062	0.9955	0.0045	0.3959	0.71	0.7904	0.6448	0.4356	0.266	0.8304	0.89	0.7887	0.6315	0.4703	1.0
как получить ипотеку	InfoSearch&W2V(stopW+avg)	0.31	1070	101	96	0,2	False	39	0.3861	0.4062	0.9955	0.0045	0.3959	0.2	0.2444	0.215	0.2551	0.1934	0.3601	0.4419	0.4246	0.4881	0.4014	0.5
как получить ипотеку	InfoSearch&W2V(stopW+max)	0.37	1070	101	96	0,2	False	39	0.3861	0.4062	0.9955	0.0045	0.3959	0.71	0.7904	0.6448	0.4356	0.266	0.8304	0.89	0.7887	0.6315	0.4702	1.0

как получить кредитную карту	InfoSearch	3.27	20695	1428	37	0	True	37	0.0259	1.0	0.947	0.053	0.0505	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0226	0.0014
как получить кредитную карту	InfoSearch&W2V(avg)	4.64	20695	1428	37	0	True	37	0.0259	1.0	0.947	0.053	0.0505	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0234	0.0072
как получить кредитную карту	InfoSearch&W2V(avg10)	4.51	20695	1428	37	0	True	37	0.0259	1.0	0.947	0.053	0.0505	0.0667	0.0333	0.0167	0.0067	0.001	0.1696	0.11	0.071	0.0388	0.0277	0.3333
как получить кредитную карту	InfoSearch&W2V(max)	4.64	20695	1428	37	0	True	37	0.0259	1.0	0.947	0.053	0.0505	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0236	0.0032
как получить кредитную карту	InfoSearch&W2V(stopW+avg)	4.37	20695	1428	37	0	True	37	0.0259	1.0	0.947	0.053	0.0505	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0238	0.0103
как получить кредитную карту	InfoSearch&W2V(stopW+max)	5.31	20695	1428	37	0	True	37	0.0259	1.0	0.947	0.053	0.0505	0.0	0.0	0.0	0.0	0.0005	0.0	0.0	0.0	0.0	0.0227	0.0014

как получить кредитную карту	InfoSearch	2.25	12433	694	37	0	False	15	0.0216	0.4054	0.9733	0.0267	0.041	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0194	0.0056
как получить кредитную карту	InfoSearch&W2V(avg)	3.08	12433	694	37	0	False	15	0.0216	0.4054	0.9733	0.0267	0.041	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0196	0.0147
как получить кредитную карту	InfoSearch&W2V(avg10)	3.06	12433	694	37	0	False	15	0.0216	0.4054	0.9733	0.0267	0.041	0.0667	0.0333	0.0167	0.0076	0.0012	0.1696	0.11	0.071	0.0531	0.0259	0.3333
как получить кредитную карту	InfoSearch&W2V(max)	3.08	12433	694	37	0	False	15	0.0216	0.4054	0.9733	0.0267	0.041	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0196	0.0057
как получить кредитную карту	InfoSearch&W2V(stopW+avg)	2.95	12433	694	37	0	False	15	0.0216	0.4054	0.9733	0.0267	0.041	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0199	0.013
как получить кредитную карту	InfoSearch&W2V(stopW+max)	3.47	12433	694	37	0	False	15	0.0216	0.4054	0.9733	0.0267	0.041	0.0	0.0	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0195	0.0057

У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch	0.34	1798	120	10	0,3	True	10	0.0833	1.0	0.9958	0.0042	0.1538	0.0	0.0827	0.1076	0.0519	0.0225	0.0	0.2212	0.2813	0.1829	0.1051	0.1667
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(avg)	1.0	1798	120	10	0,3	True	10	0.0833	1.0	0.9958	0.0042	0.1538	0.0	0.0167	0.0146	0.011	0.0088	0.0	0.0784	0.0853	0.0789	0.0816	0.1667
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(avg10)	0.94	1798	120	10	0,3	True	10	0.0833	1.0	0.9958	0.0042	0.1538	0.0667	0.0333	0.0167	0.0098	0.0098	0.1696	0.11	0.071	0.0698	0.0857	0.3333
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(max)	1.03	1798	120	10	0,3	True	10	0.0833	1.0	0.9958	0.0042	0.1538	0.0	0.0325	0.0163	0.016	0.0101	0.0	0.1331	0.0859	0.1062	0.0837	0.125
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(stopW+avg)	0.68	1798	120	10	0,3	True	10	0.0833	1.0	0.9958	0.0042	0.1538	0.0	0.0	0.0104	0.0136	0.0094	0.0	0.0	0.0731	0.0995	0.0805	0.0833
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(stopW+max)	0.89	1798	120	10	0,3	True	10	0.0833	1.0	0.9958	0.0042	0.1538	0.0	0.01	0.0127	0.009	0.0082	0.0	0.0636	0.0784	0.0728	0.0788	0.1

У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch	0.29	1280	85	10	0,3	False	2	0.0235	0.2	0.9965	0.0035	0.0421	0.0	0.0	0.0	0.0009	0.0009	0.0	0.0	0.0	0.0169	0.0206	0.0435
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(avg)	0.91	1280	85	10	0,3	False	2	0.0235	0.2	0.9965	0.0035	0.0421	0.0	0.0	0.0	0.0004	0.0007	0.0	0.0	0.0	0.014	0.0189	0.0217
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(avg10)	0.92	1280	85	10	0,3	False	2	0.0235	0.2	0.9965	0.0035	0.0421	0.0	0.0	0.0	0.0004	0.0006	0.0	0.0	0.0	0.0137	0.0186	0.02
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(max)	0.92	1280	85	10	0,3	False	2	0.0235	0.2	0.9965	0.0035	0.0421	0.0	0.0	0.0	0.0014	0.0008	0.0	0.0	0.0	0.0286	0.0198	0.0244
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(stopW+avg)	0.59	1280	85	10	0,3	False	2	0.0235	0.2	0.9965	0.0035	0.0421	0.0	0.0	0.0028	0.0022	0.0013	0.0	0.0	0.0334	0.033	0.0228	0.0556
У меня есть уже один кредит на машину и сейчас я хочу взять ипотеку, дадут ли мне её?	InfoSearch&W2V(stopW+max)	0.8	1280	85	10	0,3	False	2	0.0235	0.2	0.9965	0.0035	0.0421	0.0	0.0	0.0029	0.0026	0.0015	0.0	0.0	0.0341	0.0344	0.0238	0.0588

просрочил платеж, что делать?	InfoSearch	0.06	27	13	447	0	False	13	1.0	0.0291	0.9835	0.0165	0.0565	1.0	1.0	0.65	0.26	1.0	1.0	1.0	0	0	1.0	1.0
просрочил платеж, что делать?	InfoSearch&W2V(avg)	0.17	27	13	447	0	False	13	1.0	0.0291	0.9835	0.0165	0.0565	1.0	1.0	0.65	0.26	1.0	1.0	1.0	0	0	1.0	1.0
просрочил платеж, что делать?	InfoSearch&W2V(avg10)	0.17	27	13	447	0	False	13	1.0	0.0291	0.9835	0.0165	0.0565	1.0	1.0	0.65	0.26	1.0	1.0	1.0	0	0	1.0	1.0
просрочил платеж, что делать?	InfoSearch&W2V(max)	0.17	27	13	447	0	False	13	1.0	0.0291	0.9835	0.0165	0.0565	1.0	1.0	0.65	0.26	1.0	1.0	1.0	0	0	1.0	1.0
просрочил платеж, что делать?	InfoSearch&W2V(stopW+avg)	0.2	27	13	447	0	False	13	1.0	0.0291	0.9835	0.0165	0.0565	1.0	1.0	0.65	0.26	1.0	1.0	1.0	0	0	1.0	1.0
просрочил платеж, что делать?	InfoSearch&W2V(stopW+max)	0.21	27	13	447	0	False	13	1.0	0.0291	0.9835	0.0165	0.0565	1.0	1.0	0.65	0.26	1.0	1.0	1.0	0	0	1.0	1.0

просрочил платеж, что делать?	InfoSearch	2.82	16337	462	447	0,4	True	447	0.9675	1.0	0.9994	0.0006	0.9835	1.0	1.0	1.0	0.9629	0.942	1.0	1.0	1.0	0.9826	0.9694	1.0
просрочил платеж, что делать?	InfoSearch&W2V(avg)	3.29	16337	462	447	0,4	True	447	0.9675	1.0	0.9994	0.0006	0.9835	0.5433	0.7071	0.7531	0.8324	0.9201	0.6608	0.7799	0.8207	0.8854	0.9536	0.5
просрочил платеж, что делать?	InfoSearch&W2V(avg10)	3.28	16337	462	447	0,4	True	447	0.9675	1.0	0.9994	0.0006	0.9835	0.76	0.8154	0.8244	0.8937	0.934	0.8539	0.9052	0.906	0.9487	0.9651	1.0
просрочил платеж, что делать?	InfoSearch&W2V(max)	3.35	16337	462	447	0,4	True	447	0.9675	1.0	0.9994	0.0006	0.9835	1.0	1.0	1.0	1.0	0.9443	1.0	1.0	1.0	1.0	0.9704	1.0
просрочил платеж, что делать?	InfoSearch&W2V(stopW+avg)	3.23	16337	462	447	0,4	True	447	0.9675	1.0	0.9994	0.0006	0.9835	0.5433	0.6082	0.674	0.7912	0.914	0.6608	0.7137	0.7779	0.864	0.9512	0.5
просрочил платеж, что делать?	InfoSearch&W2V(stopW+max)	3.5	16337	462	447	0,4	True	447	0.9675	1.0	0.9994	0.0006	0.9835	1.0	1.0	1.0	1.0	0.9432	1.0	1.0	1.0	1.0	0.9703	1.0

просрочил платеж, что делать?	InfoSearch	2.76	15849	382	447	0,4	False	371	0.9712	0.83	0.9967	0.0033	0.8951	1.0	1.0	0.936	0.9038	0.9471	1.0	1.0	0.9645	0.9505	0.972	1.0
просрочил платеж, что делать?	InfoSearch&W2V(avg)	3.13	15849	382	447	0,4	False	371	0.9712	0.83	0.9967	0.0033	0.8951	0.5433	0.7071	0.7531	0.8324	0.924	0.6608	0.7799	0.8207	0.8854	0.9548	0.5
просрочил платеж, что делать?	InfoSearch&W2V(avg10)	3.14	15849	382	447	0,4	False	371	0.9712	0.83	0.9967	0.0033	0.8951	0.76	0.8154	0.8244	0.8937	0.9352	0.8539	0.9052	0.906	0.9487	0.9672	1.0
просрочил платеж, что делать?	InfoSearch&W2V(max)	3.12	15849	382	447	0,4	False	371	0.9712	0.83	0.9967	0.0033	0.8951	1.0	1.0	1.0	1.0	0.9482	1.0	1.0	1.0	1.0	0.9735	1.0
просрочил платеж, что делать?	InfoSearch&W2V(stopW+avg)	3.05	15849	382	447	0,4	False	371	0.9712	0.83	0.9967	0.0033	0.8951	0.5433	0.6082	0.7372	0.8126	0.9217	0.6608	0.7137	0.8152	0.8702	0.9539	0.5
просрочил платеж, что делать?	InfoSearch&W2V(stopW+max)	3.28	15849	382	447	0,4	False	371	0.9712	0.83	0.9967	0.0033	0.8951	1.0	1.0	1.0	1.0	0.9488	1.0	1.0	1.0	1.0	0.9736	1.0

Какие документы нужны для кредита	InfoSearch	0.39	2154	127	135	0	False	58	0.4567	0.4296	0.9944	0.0056	0.4427	1.0	0.7889	0.6263	0.4994	0.3073	1.0	0.8669	0.7747	0.6981	0.5256	1.0
Какие документы нужны для кредита	InfoSearch&W2V(avg)	0.6	2154	127	135	0	False	58	0.4567	0.4296	0.9944	0.0056	0.4427	0.1467	0.1553	0.2143	0.2344	0.2207	0.3008	0.3309	0.4226	0.4561	0.4445	0.3333
Какие документы нужны для кредита	InfoSearch&W2V(avg10)	0.61	2154	127	135	0	False	58	0.4567	0.4296	0.9944	0.0056	0.4427	1.0	1.0	0.8292	0.587	0.3445	1.0	1.0	0.8963	0.7472	0.5412	1.0
Какие документы нужны для кредита	InfoSearch&W2V(max)	0.58	2154	127	135	0	False	58	0.4567	0.4296	0.9944	0.0056	0.4427	1.0	0.7889	0.6694	0.4557	0.3083	1.0	0.8669	0.8088	0.6557	0.526	1.0
Какие документы нужны для кредита	InfoSearch&W2V(stopW+avg)	0.56	2154	127	135	0	False	58	0.4567	0.4296	0.9944	0.0056	0.4427	0.1467	0.2889	0.336	0.3292	0.2562	0.3008	0.4729	0.521	0.5299	0.4655	0.3333
Какие документы нужны для кредита	InfoSearch&W2V(stopW+max)	0.66	2154	127	135	0	False	58	0.4567	0.4296	0.9944	0.0056	0.4427	1.0	0.7889	0.6768	0.4764	0.3103	1.0	0.8669	0.811	0.6724	0.5271	1.0

Какие документы нужны для кредита	InfoSearch	2.21	13272	754	135	0,2	False	134	0.1777	0.9926	0.9764	0.0236	0.3015	1.0	0.7889	0.6263	0.4994	0.0825	1.0	0.8669	0.7747	0.6981	0.2274	1.0
Какие документы нужны для кредита	InfoSearch&W2V(avg)	3.3	13272	754	135	0,2	False	134	0.1777	0.9926	0.9764	0.0236	0.3015	0.05	0.0917	0.1112	0.1033	0.0473	0.1461	0.2394	0.2928	0.2944	0.1914	0.25
Какие документы нужны для кредита	InfoSearch&W2V(avg10)	3.27	13272	754	135	0,2	False	134	0.1777	0.9926	0.9764	0.0236	0.3015	0.4533	0.5175	0.5322	0.3836	0.0692	0.6399	0.7027	0.7095	0.5988	0.2169	1.0
Какие документы нужны для кредита	InfoSearch&W2V(max)	3.29	13272	754	135	0,2	False	134	0.1777	0.9926	0.9764	0.0236	0.3015	1.0	0.7889	0.6694	0.4557	0.08	1.0	0.8669	0.8088	0.6557	0.2262	1.0
Какие документы нужны для кредита	InfoSearch&W2V(stopW+avg)	2.89	13272	754	135	0,2	False	134	0.1777	0.9926	0.9764	0.0236	0.3015	0.18	0.2984	0.1911	0.1925	0.0588	0.3452	0.4967	0.3876	0.4114	0.2032	0.5
Какие документы нужны для кредита	InfoSearch&W2V(stopW+max)	3.55	13272	754	135	0,2	False	134	0.1777	0.9926	0.9764	0.0236	0.3015	1.0	0.7889	0.6768	0.4764	0.0828	1.0	0.8669	0.811	0.6724	0.2279	1.0

Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch	0.46	2324	145	58	0,4	True	35	0.2414	0.6034	0.9949	0.0051	0.3448	1.0	0.8	0.4515	0.2429	0.1189	1.0	0.8701	0.628	0.4515	0.3131	1.0
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(avg)	0.85	2324	145	58	0,4	True	35	0.2414	0.6034	0.9949	0.0051	0.3448	0.1	0.1167	0.1802	0.1637	0.0936	0.214	0.2835	0.3949	0.3809	0.2664	0.5
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(avg10)	0.86	2324	145	58	0,4	True	35	0.2414	0.6034	0.9949	0.0051	0.3448	0.1	0.1133	0.0926	0.0987	0.0732	0.214	0.2809	0.257	0.2939	0.2514	0.5
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(max)	0.85	2324	145	58	0,4	True	35	0.2414	0.6034	0.9949	0.0051	0.3448	0.2867	0.26	0.221	0.1985	0.1027	0.4469	0.432	0.4173	0.4117	0.2744	0.3333
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(stopW+avg)	0.67	2324	145	58	0,4	True	35	0.2414	0.6034	0.9949	0.0051	0.3448	0.0667	0.0583	0.0671	0.0849	0.0679	0.1696	0.1795	0.2218	0.2718	0.2407	0.3333
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(stopW+max)	0.86	2324	145	58	0,4	True	35	0.2414	0.6034	0.9949	0.0051	0.3448	0.2333	0.2794	0.2344	0.1124	0.0825	0.3836	0.4669	0.4414	0.2858	0.266	0.5

Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch	2.3	12785	251	58	0,4	False	58	0.2311	1.0	0.9927	0.0073	0.3754	1.0	0.8	0.4616	0.3672	0.1208	1.0	0.8701	0.632	0.6028	0.2989	1.0
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(avg)	3.28	12785	251	58	0,4	False	58	0.2311	1.0	0.9927	0.0073	0.3754	0.2333	0.2095	0.2145	0.167	0.0806	0.3836	0.3917	0.4281	0.384	0.2565	0.5
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(avg10)	3.28	12785	251	58	0,4	False	58	0.2311	1.0	0.9927	0.0073	0.3754	0.2	0.2019	0.1388	0.1179	0.0725	0.3392	0.4233	0.3451	0.3287	0.2537	1.0
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(max)	3.25	12785	251	58	0,4	False	58	0.2311	1.0	0.9927	0.0073	0.3754	0.1467	0.1662	0.1402	0.1425	0.0774	0.3008	0.338	0.3236	0.3465	0.2491	0.3333
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(stopW+avg)	2.76	12785	251	58	0,4	False	58	0.2311	1.0	0.9927	0.0073	0.3754	0.1	0.1262	0.2476	0.18	0.0848	0.214	0.2906	0.4685	0.3909	0.2563	0.5
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(stopW+max)	3.15	12785	251	58	0,4	False	58	0.2311	1.0	0.9927	0.0073	0.3754	0.3533	0.2433	0.2406	0.185	0.0901	0.5148	0.4124	0.4465	0.4078	0.2639	0.5

Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch	0.05	51	16	58	0,2	True	8	0.5	0.1379	0.9978	0.0022	0.2162	1.0	0.8	0.4	0.16	0.5	1.0	0.8701	0	0	0.6475	1.0
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(avg)	0.12	51	16	58	0,2	True	8	0.5	0.1379	0.9978	0.0022	0.2162	0.3333	0.3751	0.2479	0.0992	0.3099	0.5087	0.6028	0	0	0.5362	1.0
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(avg10)	0.11	51	16	58	0,2	True	8	0.5	0.1379	0.9978	0.0022	0.2162	0.13	0.2206	0.1817	0.0727	0.2271	0.2773	0.394	0	0	0.4172	0.25
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(max)	0.11	51	16	58	0,2	True	8	0.5	0.1379	0.9978	0.0022	0.2162	0.5433	0.2717	0.2352	0.0941	0.294	0.6608	0.4288	0	0	0.4919	0.5
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(stopW+avg)	0.11	51	16	58	0,2	True	8	0.5	0.1379	0.9978	0.0022	0.2162	0.18	0.3263	0.2148	0.0859	0.2685	0.3452	0.5115	0	0	0.4634	0.5
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(stopW+max)	0.13	51	16	58	0,2	True	8	0.5	0.1379	0.9978	0.0022	0.2162	0.3833	0.3739	0.2438	0.0975	0.3047	0.5296	0.552	0	0	0.4965	0.5

Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch	0.1	194	14	58	0,2	False	8	0.5714	0.1379	0.9979	0.0021	0.2222	1.0	0.8	0.4	0.16	0.5714	1.0	0.8701	0	0	0.7045	1.0
Банкомат деньги не выдал, но со счета они снялись, что делать?	InfoSearch&W2V(avg)	0.21	194	14	58	0,2	False	8	0.5714	0.1379	0.9979	0.0021	0.2222	0.8	0.7454	0.3727	0.1491	0.5325	0.8688	0.8512	0	0	0.6893	1.0
